aid,bvid,title,播放量,点赞数,投币数,属地,视频时长(秒),视频时长(分:秒),up主,up主ID,发布时间,视频分类,收藏数,分享数,评论数,弹幕数
114251599451855,BV1v5ZrYoEHE,日本人为了让你一碗油拌面吃到饱有多拼～,972633,67962,1714,日本,187,3:07,在日本摸鱼的小超人,1062138057,2025-03-30 21:35:19,美食侦探,3159,746,387,509
114240358713792,BV1VhoRY8Ei7,【小石奶凶】当妈的真是不容易,5434798,240163,3459,湖南,104,1:44,小石奶凶不月半,259713513,2025-03-28 21:52:56,美食记录,53802,2932,1344,1372
114261347076959,BV1ENZ8YNEjq,好在有个不挑食的老公🙃 今天孩子还没睡，没时间做饭， 直接把冰箱里的剩饭处理成好吃的糊涂面条。,1106943,38473,766,河南,127,2:07,雷聪明和驴智慧,3546613750434002,2025-04-01 15:13:08,美食记录,807,448,884,448
114267823018500,BV1BRfKYiE6V,每天被吃掉的日本人那么多 怪不得合法...,1864573,75629,1072,四川,158,2:38,东京阿鸡,217156,2025-04-02 18:12:06,美食侦探,7612,1201,1470,630
114243445789594,BV1EVZFY7EdN,墨江.烧烤 厨子探店¥117,1441539,95715,2867,河北,311,5:11,真探唐仁杰,544336675,2025-03-30 11:30:00,美食侦探,7714,2926,1211,881
114256465043417,BV1HAZnY1EBb,日本最低时薪1280元能买啥,466756,27571,708,辽宁,199,3:19,小丁东京打工,3493092233578582,2025-03-31 18:10:08,美食记录,804,147,791,287
114254720013441,BV1QwZJYxEJb,【上海芥末wasabi日料放题】715元 吃多了容易进黑名单,594390,11972,2814,广东,1534,25:34,陈随便778,480662886,2025-03-31 17:00:00,美食侦探,1168,2067,1360,1896
114254451572857,BV1YnZCYhE45,据说这家伙称了29年栗子了，说多少是多少，惊呆了！大家能给我给个小红心吗。感谢,1015008,18804,214,江苏,47,0:47,栗子哥王峰,3546774358722833,2025-03-31 09:32:09,美食记录,343,57,1146,83
114256498394337,BV1EKZnYkEdm,辣条烤肠+双倍辣火鸡面嘶嘶嘶～,519920,66762,2401,山西,165,2:45,小酥猫饼,3546821334928348,2025-03-31 18:21:09,美食记录,3931,719,716,373
114265860084980,BV1nHfAYaEf2,春天就要吃酸酸辣辣的现舂火锅……独一无二的云南味！【滇西小哥】,1998652,57964,19881,云南,859,14:19,滇西小哥,101229184,2025-04-02 18:00:00,田园美食,17776,6601,770,2055
114245576433464,BV1TwZPY3EeH,300元巨型金枪鱼,2086967,72911,2117,山东,221,3:41,炊哥不加戏,3546579155815297,2025-03-29 20:09:24,美食侦探,3655,699,852,712
114267051330129,BV1RRfPYZEEQ,两个日本人在中国一起去吃日料！(?),932794,114810,5514,上海,222,3:42,米饭仙人FFyasueda,3546794552199406,2025-04-02 18:00:00,美食记录,9390,3596,844,729
114239469521007,BV1E7oXYhEAh,三明治天花板级别的做法,4584582,319374,4681,上海,39,0:39,小野驹_,518863547,2025-03-28 18:01:51,美食测评,24011,27290,2744,18935
114248965493545,BV1v1ZvYGEkF,缺牙齿的正确吃法,3660273,73111,480,湖北,11,0:11,77的美胃人生,1440345074,2025-03-30 10:16:20,美食记录,2288,6345,4209,7450
114256246800401,BV1bbZnYoEFw,刚回横店就接到戏了，今天演一个老嫂子，导演您确定没找错人吗？,719471,12045,997,浙江,477,7:57,张二要自律,454077247,2025-03-31 17:19:37,美食记录,2662,84,395,803
114261447674847,BV17sZbYaExh,【王刚探店】必打卡的“老网红”粤菜餐厅？佛山有记餐厅,587093,18829,2646,四川,742,12:22,餐饮研究员王刚,429748638,2025-04-02 12:00:00,美食侦探,1713,2155,2140,3568
